,Values
0,1.6657348766585254
1,2.5731976853218534
2,1.7688337857747554
3,0.4248788423702464
4,0.002095949661828595
5,0.8026770023766295
6,3.0661020762306377
7,0.40962713942235074
8,9.83511708043897
9,3.8010085448185
10,1.3795033726218469
11,0.17392194227265073
12,4.486167725454456
13,0.9879523842356357
14,0.5578595030457543
15,2.055513372207106
16,0.04523627822817796
17,2.810560204882849
18,4.012644788661393
19,0.6767149419283168
20,0.09004002515099568
21,0.35581633020273173
22,8.775923361684157
23,0.03824424748958082
24,1.119598318081094
25,6.217103812153223
26,1.4375352638697954
27,0.27416219937571373
28,2.6329995952300433
29,1.9584662339227272
30,9.003789024850672
31,7.475225986148075
32,1.1614816700992474
33,3.30699826072603
34,2.466522068667752
35,1.4544817797908451
36,13.186630886433756
37,1.9760546391839855
38,8.78083017212654
39,0.7581123938754121
40,6.4961790846902066
41,0.4191742217801356
42,4.1700353754945425
43,3.088795401054621
44,0.514754355134718
45,1.8598141674839683
46,2.0150922213804723
47,0.6343413530249424
48,5.605905008000459
49,1.208135707573918
50,8.588271207068207
51,3.2088090247111847
52,0.033819265187722644
53,4.484519965183334
54,7.957274199495238
55,1.4190005483507993
56,8.373341878497627
57,4.459724371884816
58,2.27920997644645
59,0.7662461663876134
60,1.929885504299579
61,1.4797858821024703
62,3.7654567541637336
63,0.42352654970638615
64,4.3581294683289045
65,3.7596212958974418
66,1.3130244400817372
67,3.3518086378496035
68,6.5993268975794415
69,0.5182087700009808
70,7.251595547075766
71,3.5383281627830394
72,2.2090848236101
73,2.283662486410914
74,2.8223322673942746
75,4.03417924502297
76,5.327858654866876
77,1.7129093473741706
78,1.4706637735641555
79,0.29434756118154776
80,1.1856376751394568
81,0.5239817814731423
82,0.13426506512237937
83,4.373148446984356
84,4.244912341517604
85,2.9557534204734544
86,1.6682847153418463
87,0.7803723419591297
88,4.367163013394574
89,3.084651901317269
90,1.0390881796341267
91,1.2487437847003373
92,2.205177285784729
93,1.4173375424617107
94,5.2602005836519945
95,0.3596899999882719
96,0.244160008611164
97,8.216775828577726
98,3.1444765042350684
99,3.22477087915389
